Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (evaluations),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
4,42,1,9500,1,19,133.1,1,1,1,5,126.0,1,0,0,1,1,0,29,2,10,11.9,0,0,13.9,-0.3,0.79,1
1,1,3,171,1,1,139.0,1,19,19,5,128.2,1,0,0,1,1,1,19,0,0,0.0,0,0,10.8,1.4,1.74,0
1,44,1,9003,1,39,130.0,1,19,37,9,130.0,1,0,0,1,1,0,23,0,8,12.571428571428571,0,0,8.9,1.4,3.51,0
1,1,3,9147,1,1,125.0,1,1,38,7,120.1,0,0,1,1,1,0,19,0,8,11.2,0,3,16.2,0.3,-0.92,1
1,39,1,9254,1,1,160.0,1,19,37,7,100.0,0,0,0,1,1,0,26,0,7,12.0,0,0,12.7,3.7,-1.7,0
1,17,1,9147,1,1,148.0,1,38,37,5,134.0,0,0,0,1,1,0,18,0,9,0.0,0,0,7.6,2.6,0.32,0
1,17,1,9500,1,1,150.0,1,37,19,8,130.8,0,0,0,1,1,0,24,0,8,11.975,0,0,13.9,-0.3,0.79,0
1,1,1,171,1,1,141.0,1,19,19,5,135.8,1,0,0,1,1,0,19,0,0,0.0,0,0,15.5,2.8,-4.06,1
1,17,4,9254,1,1,118.0,1,38,37,5,111.7,1,0,0,1,1,0,18,0,12,11.666666666666666,0,0,12.4,0.5,1.79,1
1,1,2,9773,1,1,142.0,1,38,38,9,132.9,1,0,0,1,1,0,18,0,8,12.333333333333334,0,0,10.8,1.4,1.74,0
1,17,3,9147,1,1,120.0,1,19,19,4,115.5,1,0,1,1,1,0,18,0,8,10.333333333333334,0,0,10.8,1.4,1.74,1
1,18,4,9254,1,1,106.0,1,19,37,7,106.0,1,0,0,1,1,1,21,0,8,10.5,0,0,9.4,-0.8,-3.12,1
1,17,4,9773,1,1,121.0,1,1,19,9,120.3,1,0,1,1,1,1,19,0,6,13.666666666666666,0,0,8.9,1.4,3.51,0
1,17,4,9500,1,1,150.0,1,38,37,9,130.8,0,0,0,1,1,1,22,0,7,14.842857142857142,0,0,16.2,0.3,-0.92,0
2,39,1,8014,0,1,120.0,1,37,37,9,117.0,0,0,0,1,1,0,23,0,8,12.0,0,0,10.8,1.4,1.74,0
1,1,6,9853,1,1,114.0,1,19,19,9,110.2,1,0,0,1,1,0,20,0,8,12.2,0,0,10.8,1.4,1.74,1
1,39,1,9991,0,2,140.0,1,3,3,2,126.978119,1,0,0,1,1,0,23,0,1,0.0,1,0,10.8,1.4,1.74,1
1,39,1,9003,1,4,160.0,1,3,3,4,126.978119,0,0,1,1,1,0,24,6,17,12.166666666666666,0,0,12.4,0.5,1.79,1
1,17,1,9254,1,1,120.0,1,19,19,4,125.5,0,0,0,1,1,0,18,0,6,12.0,0,0,12.7,3.7,-1.7,0
2,39,1,8014,0,1,130.0,1,37,37,9,110.0,1,0,0,1,0,0,23,0,7,11.0,0,0,9.4,-0.8,-3.12,0
1,42,1,9500,1,1,160.0,1,37,38,9,126.978119,1,0,0,1,0,1,22,0,8,13.08,0,0,10.8,1.4,1.74,0
1,39,1,9670,1,1,120.0,1,1,19,4,100.0,0,0,0,1,0,1,25,0,7,10.5,0,0,9.4,-0.8,-3.12,0
1,17,1,9070,1,1,124.0,1,19,38,4,117.6,1,0,0,1,1,0,20,0,9,10.666666666666666,1,0,7.6,2.6,0.32,0
1,1,6,9147,1,1,143.0,1,38,37,9,128.7,1,0,0,1,1,0,23,0,6,14.0,0,0,11.1,0.6,2.02,0
1,43,2,9119,1,1,115.0,1,38,19,9,112.2,1,0,1,1,1,0,18,0,9,10.0,0,0,15.5,2.8,-4.06,0
1,39,1,9500,1,1,133.1,1,1,1,4,100.8,0,0,0,1,1,0,24,0,18,0.0,0,0,13.9,-0.3,0.79,1
1,17,2,9773,1,1,133.1,41,19,1,9,105.0,1,0,0,0,0,0,21,0,6,14.0,0,0,8.9,1.4,3.51,0
1,15,1,9130,1,1,133.1,41,1,1,4,100.0,0,0,0,1,0,0,26,0,7,12.0,1,0,8.9,1.4,3.51,1
2,39,1,9853,1,1,133.1,1,37,34,0,115.5,0,0,0,1,0,0,23,0,12,12.666666666666666,0,1,7.6,2.6,0.32,1
2,39,1,8014,0,1,133.1,1,37,19,9,114.0,0,0,0,1,0,0,23,2,11,11.875,0,0,12.7,3.7,-1.7,0
1,15,1,9119,1,1,130.0,26,38,3,9,137.0,1,0,0,1,1,0,19,0,9,14.0,0,0,13.9,-0.3,0.79,0
1,1,5,9773,1,1,135.0,1,37,1,5,124.9,1,0,0,1,0,0,18,0,6,13.666666666666666,0,0,8.9,1.4,3.51,0
1,1,5,9500,1,1,132.0,1,37,37,7,120.3,1,0,0,1,0,1,18,0,7,13.75,0,0,12.4,0.5,1.79,0
1,1,1,9085,1,1,135.0,1,1,2,9,134.3,1,0,0,1,0,0,19,0,7,14.2,2,0,12.7,3.7,-1.7,0
1,1,4,9500,1,1,115.0,1,3,3,2,111.5,1,0,1,0,0,0,19,0,10,11.96,0,0,13.9,-0.3,0.79,1
1,53,1,9085,1,42,130.0,1,38,38,9,128.8,0,0,0,1,0,0,21,7,12,12.875,0,0,8.9,1.4,3.51,1
1,1,4,171,1,1,133.1,1,1,1,9,110.0,1,0,0,1,0,0,20,0,0,0.0,0,0,16.2,0.3,-0.92,0
2,39,1,8014,0,1,130.0,1,37,37,6,113.5,1,0,0,1,0,0,23,0,0,0.0,0,0,9.4,-0.8,-3.12,1
4,39,1,9003,1,12,133.1,1,37,37,9,126.978119,0,0,0,1,0,0,23,13,19,14.63157894736842,0,1,15.5,2.8,-4.06,0
1,18,1,9853,1,1,123.0,1,19,19,9,117.4,1,0,0,1,0,0,19,0,0,0.0,0,0,11.1,0.6,2.02,1
1,51,1,9070,1,1,130.0,1,3,1,2,122.2,0,0,1,1,0,0,20,4,12,13.0,0,0,11.1,0.6,2.02,0
1,1,2,9238,1,1,122.0,1,37,38,4,118.2,1,0,0,1,0,0,19,0,0,0.0,0,0,16.2,0.3,-0.92,1
1,1,1,9085,1,1,113.0,1,1,1,4,106.7,1,0,0,1,0,0,20,0,15,14.2,0,0,15.5,2.8,-4.06,1
1,1,5,9500,1,1,111.0,1,3,4,4,108.2,1,0,0,1,0,0,20,2,9,13.266666666666666,0,0,12.4,0.5,1.79,1
1,17,2,9853,1,1,133.1,1,19,1,9,107.0,1,0,0,1,0,0,20,0,12,11.666666666666666,0,0,16.2,0.3,-0.92,0
1,1,1,9238,1,1,142.0,1,37,37,6,136.1,1,0,0,1,0,0,18,0,8,13.857142857142858,0,0,13.9,-0.3,0.79,0
1,17,2,9147,1,1,123.0,1,1,38,4,115.3,1,0,0,1,0,1,18,0,9,13.0,0,0,8.9,1.4,3.51,0
1,1,1,9085,1,1,131.0,1,19,19,9,139.8,1,0,0,1,0,0,19,0,6,13.4,0,0,10.8,1.4,1.74,0
1,1,3,9773,1,1,158.0,1,1,38,4,126.978119,1,0,0,1,0,0,18,0,6,12.666666666666666,0,0,10.8,1.4,1.74,0
1,17,2,9500,1,1,122.0,1,37,37,9,131.0,1,0,0,1,0,0,18,0,7,12.516666666666666,1,1,7.6,2.6,0.32,1
1,43,1,9500,1,1,130.0,1,38,38,9,100.0,0,0,0,1,0,0,20,0,11,11.616666666666667,0,0,13.9,-0.3,0.79,0
1,17,1,9238,1,1,154.0,1,19,37,9,140.4,1,0,0,1,0,1,20,0,13,10.0,0,0,7.6,2.6,0.32,0
1,17,1,9147,1,1,120.0,1,19,19,3,113.4,0,0,0,1,0,0,20,0,11,10.333333333333334,0,0,12.4,0.5,1.79,0
1,1,2,9085,1,1,140.0,1,37,38,9,137.0,0,0,0,1,0,0,18,0,12,13.142857142857142,2,0,9.4,-0.8,-3.12,0
1,1,1,9147,1,1,127.0,1,2,19,4,121.8,0,0,0,1,0,0,18,0,5,12.6,0,0,11.1,0.6,2.02,0
1,17,1,9254,1,1,133.1,1,1,1,4,131.0,1,0,0,1,0,0,21,0,12,11.0,0,0,9.4,-0.8,-3.12,1
1,1,2,9147,1,1,120.0,1,19,19,9,118.6,1,0,0,1,0,0,19,0,8,10.8,0,2,16.2,0.3,-0.92,0
1,1,1,171,1,1,137.0,1,3,19,2,122.3,0,0,0,1,0,0,19,0,0,0.0,0,0,10.8,1.4,1.74,1
1,1,1,9670,1,1,131.0,1,38,38,9,127.9,0,0,0,1,0,1,19,0,5,12.8,0,0,9.4,-0.8,-3.12,0
1,1,1,9085,1,1,130.0,1,19,38,4,121.3,1,0,0,1,0,0,19,0,15,14.166666666666666,0,0,15.5,2.8,-4.06,0
1,17,6,9556,1,1,122.0,1,1,1,4,117.1,1,0,0,1,0,0,19,0,12,12.1,0,0,13.9,-0.3,0.79,1
1,44,1,9085,1,39,160.0,1,37,37,9,126.978119,1,0,0,1,0,0,20,1,7,14.166666666666666,0,0,12.4,0.5,1.79,0
1,1,1,9853,1,1,146.0,1,19,38,9,145.3,1,0,0,1,0,1,18,0,8,12.8,0,0,9.4,-0.8,-3.12,0
1,17,3,9238,1,1,131.0,1,1,39,5,122.6,1,0,0,1,0,0,18,0,7,13.0,0,0,12.4,0.5,1.79,0
1,17,6,9500,1,1,132.0,1,1,37,8,128.0,1,0,0,1,0,0,19,0,7,13.467142857142855,0,0,12.4,0.5,1.79,0
1,1,3,9500,1,1,138.0,1,19,19,5,124.9,1,0,0,1,0,1,18,0,9,13.2375,0,0,13.9,-0.3,0.79,1
1,17,2,9070,1,1,130.0,1,37,37,9,123.7,1,0,0,1,0,0,18,0,6,12.333333333333334,0,0,7.6,2.6,0.32,0
1,1,4,9147,1,1,126.0,1,1,19,4,120.1,1,0,0,1,0,0,19,0,7,12.4,0,0,8.9,1.4,3.51,0
1,17,6,9500,1,1,148.0,1,1,19,3,131.7,1,0,0,1,0,0,19,0,8,14.0,0,0,13.9,-0.3,0.79,1
1,43,1,9238,1,1,130.0,1,38,37,9,133.2,0,0,0,1,0,0,20,5,15,11.666666666666666,0,0,7.6,2.6,0.32,0
1,1,1,9670,1,1,117.0,1,1,38,3,109.3,0,0,1,0,0,1,19,0,7,12.0,0,0,12.4,0.5,1.79,1
1,17,1,9670,1,1,120.0,1,19,19,5,113.0,1,0,0,1,0,0,20,0,7,12.2,0,0,7.6,2.6,0.32,0
1,1,1,9773,1,1,153.0,1,1,1,141,126.978119,0,0,1,1,0,1,18,0,6,14.833333333333334,0,0,8.9,1.4,3.51,0
1,1,2,9500,1,1,117.0,1,19,1,4,112.1,0,0,0,1,0,1,20,0,9,13.188,0,0,11.1,0.6,2.02,0
1,18,1,9500,1,1,132.0,1,19,1,4,126.978119,0,0,0,1,0,0,18,0,8,17.125,0,0,13.9,-0.3,0.79,0
1,1,5,9500,1,1,129.0,1,37,37,9,128.8,1,0,0,1,0,0,19,0,7,12.666666666666666,0,0,7.6,2.6,0.32,0
1,1,6,9773,1,1,116.0,1,19,1,4,110.1,1,0,0,1,0,1,19,0,8,12.666666666666666,0,0,12.4,0.5,1.79,0
1,51,1,9147,1,1,132.0,1,3,1,3,99.7,1,0,1,0,0,0,22,0,8,0.0,0,0,8.9,1.4,3.51,0
1,1,3,9238,1,1,135.0,1,1,12,9,121.0,1,0,0,1,0,1,19,0,7,11.333333333333334,0,0,12.4,0.5,1.79,0
1,1,3,9500,1,1,141.0,1,19,19,9,131.7,1,0,0,1,0,1,19,0,10,13.605,0,0,15.5,2.8,-4.06,0
1,17,5,9853,1,1,132.0,1,37,38,5,119.1,1,0,0,1,0,1,19,0,10,12.0,0,0,9.4,-0.8,-3.12,0
1,1,4,9254,1,1,132.0,1,12,19,9,124.7,1,0,0,1,0,0,19,0,10,0.0,0,0,7.6,2.6,0.32,1
1,17,1,9254,1,1,113.0,1,1,37,9,117.2,1,0,0,1,0,0,20,0,8,11.2,0,0,7.6,2.6,0.32,1
1,1,1,9147,1,1,134.0,1,3,19,2,128.8,0,0,0,1,0,0,18,0,10,13.375,0,0,13.9,-0.3,0.79,0
1,1,1,9500,1,1,136.0,1,1,19,9,131.5,0,0,0,1,0,1,20,0,8,13.863333333333337,0,0,11.1,0.6,2.02,0
1,1,1,171,1,1,136.0,1,3,37,2,121.7,1,0,0,1,0,0,18,0,0,0.0,0,0,9.4,-0.8,-3.12,0
1,1,1,9085,1,1,129.0,1,1,38,4,123.4,0,0,0,1,0,0,19,0,6,12.4,0,0,7.6,2.6,0.32,0
1,17,1,9853,1,1,138.0,1,38,38,7,124.7,1,0,0,1,0,0,18,0,11,12.333333333333334,0,0,9.4,-0.8,-3.12,0
1,1,1,9853,1,1,137.0,1,37,37,9,132.8,1,0,0,1,0,0,18,0,7,13.333333333333334,0,0,7.6,2.6,0.32,0
1,43,1,9853,1,1,115.0,1,3,37,2,108.7,1,0,0,1,0,0,21,0,10,12.666666666666666,0,0,9.4,-0.8,-3.12,1
1,1,1,9853,1,1,129.0,1,38,37,6,138.1,0,0,0,1,0,0,19,0,8,12.0,0,0,7.6,2.6,0.32,1
1,1,1,9147,1,1,131.0,1,38,38,9,126.5,0,0,0,1,0,1,18,0,5,10.6,0,0,12.4,0.5,1.79,0
1,17,2,9238,1,1,133.0,1,1,37,7,127.4,1,0,0,1,0,1,18,0,8,12.25,0,0,12.7,3.7,-1.7,0
1,1,3,9238,1,1,125.0,1,19,1,9,123.6,1,0,0,1,0,0,20,0,10,11.0,0,0,9.4,-0.8,-3.12,0
1,39,1,8014,0,1,120.0,1,1,19,6,122.0,0,0,0,1,0,1,24,0,11,11.0,0,0,11.1,0.6,2.02,0
1,1,1,9670,1,1,128.0,1,19,1,4,118.2,0,0,0,1,0,0,19,0,6,13.166666666666666,0,0,10.8,1.4,1.74,1
1,1,1,9500,1,1,127.0,1,19,37,9,123.9,1,0,0,1,0,1,18,0,9,12.855555555555554,0,0,15.5,2.8,-4.06,0
1,1,2,9500,1,1,134.0,1,19,19,9,125.8,1,0,0,1,0,0,18,0,8,14.91875,0,0,15.5,2.8,-4.06,0
1,17,5,9853,1,1,132.0,1,12,12,4,123.3,1,0,0,1,0,0,21,0,13,11.5,0,0,10.8,1.4,1.74,1
1,17,2,9670,1,1,124.0,1,1,19,5,124.4,0,0,0,1,0,0,19,0,5,14.2,0,0,7.6,2.6,0.32,0
1,17,1,9773,1,1,133.1,1,19,37,7,126.0,0,0,0,1,0,1,19,0,6,12.5,0,0,15.5,2.8,-4.06,0
3,39,1,9003,1,1,132.0,1,1,37,6,126.978119,0,0,1,1,0,0,23,0,1,0.0,0,0,8.9,1.4,3.51,0
1,17,3,9238,1,1,125.0,1,19,19,7,121.5,0,0,0,1,0,0,19,0,10,11.666666666666666,0,0,13.9,-0.3,0.79,0
1,39,1,9500,1,3,130.0,1,2,2,1,130.0,0,0,0,1,0,0,29,1,8,14.257142857142856,0,0,12.7,3.7,-1.7,0
1,43,1,9238,1,1,125.0,1,19,19,4,117.0,1,0,0,1,0,0,21,0,13,12.0,0,0,16.2,0.3,-0.92,1
1,39,1,9085,1,1,130.0,1,37,19,9,130.0,1,0,0,1,0,0,28,0,13,11.25,1,0,12.7,3.7,-1.7,0
1,17,2,9556,1,1,133.1,1,37,37,3,108.0,0,0,0,1,0,0,20,0,8,12.457142857142856,0,0,15.5,2.8,-4.06,0
1,17,1,9500,1,1,131.0,1,2,38,4,132.3,1,0,0,1,0,0,19,0,7,11.683333333333332,0,0,7.6,2.6,0.32,0
1,42,1,8014,0,1,150.0,1,19,2,4,148.0,0,0,0,1,0,0,26,0,10,11.666666666666666,0,0,9.4,-0.8,-3.12,0
1,17,2,9254,1,1,125.0,1,37,37,9,122.6,1,0,1,0,0,0,20,0,8,11.75,0,0,11.1,0.6,2.02,1
1,1,1,9670,1,1,131.0,1,37,37,9,123.0,1,0,0,1,0,1,18,0,6,11.666666666666666,0,0,7.6,2.6,0.32,0
1,39,1,9853,1,1,130.0,1,37,19,9,102.5,0,0,0,1,0,0,27,0,9,13.2,0,0,7.6,2.6,0.32,0
1,1,2,9500,1,1,123.0,1,34,34,90,113.3,1,0,0,1,0,0,20,0,8,11.95,0,0,7.6,2.6,0.32,1
1,1,5,9853,1,1,141.0,1,37,19,9,133.0,1,0,0,1,0,0,18,0,8,12.4,0,0,9.4,-0.8,-3.12,1
1,7,1,9500,1,3,140.0,1,1,1,9,140.0,0,0,0,1,0,0,23,2,8,14.35,0,0,16.2,0.3,-0.92,1
1,43,1,9853,1,1,140.0,1,3,1,3,128.3,1,0,0,1,0,0,23,19,21,12.61904761904762,0,0,12.4,0.5,1.79,0
1,44,1,9991,0,39,140.0,1,37,19,9,140.0,0,0,0,1,0,1,26,2,7,12.666666666666666,0,1,9.4,-0.8,-3.12,0
1,39,1,9773,1,19,133.1,1,19,19,3,104.0,0,0,1,0,0,0,27,0,6,12.0,0,0,11.1,0.6,2.02,1
1,18,3,9070,1,1,131.0,1,1,37,5,122.3,1,0,0,0,0,0,19,0,6,12.166666666666666,0,0,15.5,2.8,-4.06,1
1,17,2,9254,1,1,143.0,1,1,19,4,135.0,0,0,0,1,0,0,20,0,0,0.0,0,0,11.1,0.6,2.02,1
1,18,2,9147,1,1,132.0,1,3,3,5,119.1,1,0,1,0,0,0,20,0,9,10.0,0,0,10.8,1.4,1.74,1
1,43,1,9238,1,1,143.0,1,1,37,5,126.6,0,0,1,0,0,0,21,5,18,11.5,0,0,9.4,-0.8,-3.12,0
1,17,3,9500,1,1,141.0,1,38,1,9,129.0,1,0,0,1,0,1,18,0,7,13.05,0,0,7.6,2.6,0.32,0
1,39,1,9085,1,1,133.1,1,1,19,9,126.978119,1,0,0,1,0,0,24,0,10,11.0,0,0,8.9,1.4,3.51,1
1,17,4,9070,1,1,148.0,1,1,3,4,126.978119,1,0,0,1,0,0,20,0,7,11.5,0,0,16.2,0.3,-0.92,0
